run,mutation,crossover,selection,elitism,generation,fitness
1,heuristic_mutation,geometric_crossover,tournament_k3,1,1,47300
1,heuristic_mutation,geometric_crossover,tournament_k3,1,2,47300
1,heuristic_mutation,geometric_crossover,tournament_k3,1,3,47300
1,heuristic_mutation,geometric_crossover,tournament_k3,1,4,47600
1,heuristic_mutation,geometric_crossover,tournament_k3,1,5,48800
1,heuristic_mutation,geometric_crossover,tournament_k3,1,6,52800
1,heuristic_mutation,geometric_crossover,tournament_k3,1,7,53200
1,heuristic_mutation,geometric_crossover,tournament_k3,1,8,58900
1,heuristic_mutation,geometric_crossover,tournament_k3,1,9,60400
1,heuristic_mutation,geometric_crossover,tournament_k3,1,10,60400
1,heuristic_mutation,geometric_crossover,tournament_k3,1,11,63000
1,heuristic_mutation,geometric_crossover,tournament_k3,1,12,63000
1,heuristic_mutation,geometric_crossover,tournament_k3,1,13,63000
1,heuristic_mutation,geometric_crossover,tournament_k3,1,14,63000
1,heuristic_mutation,geometric_crossover,tournament_k3,1,15,63000
1,heuristic_mutation,geometric_crossover,tournament_k3,1,16,63000
1,heuristic_mutation,geometric_crossover,tournament_k3,1,17,65500
1,heuristic_mutation,geometric_crossover,tournament_k3,1,18,65600
1,heuristic_mutation,geometric_crossover,tournament_k3,1,19,65600
1,heuristic_mutation,geometric_crossover,tournament_k3,1,20,66500
1,heuristic_mutation,geometric_crossover,tournament_k3,1,21,66500
1,heuristic_mutation,geometric_crossover,tournament_k3,1,22,66500
1,heuristic_mutation,geometric_crossover,tournament_k3,1,23,66500
1,heuristic_mutation,geometric_crossover,tournament_k3,1,24,66500
1,heuristic_mutation,geometric_crossover,tournament_k3,1,25,66500
1,heuristic_mutation,geometric_crossover,tournament_k3,1,26,66500
1,heuristic_mutation,geometric_crossover,tournament_k3,1,27,66500
1,heuristic_mutation,geometric_crossover,tournament_k3,1,28,66500
1,heuristic_mutation,geometric_crossover,tournament_k3,1,29,66600
1,heuristic_mutation,geometric_crossover,tournament_k3,1,30,66600
1,heuristic_mutation,geometric_crossover,tournament_k3,1,31,66600
1,heuristic_mutation,geometric_crossover,tournament_k3,1,32,66900
1,heuristic_mutation,geometric_crossover,tournament_k3,1,33,66900
1,heuristic_mutation,geometric_crossover,tournament_k3,1,34,66900
1,heuristic_mutation,geometric_crossover,tournament_k3,1,35,67200
1,heuristic_mutation,geometric_crossover,tournament_k3,1,36,67200
1,heuristic_mutation,geometric_crossover,tournament_k3,1,37,67200
1,heuristic_mutation,geometric_crossover,tournament_k3,1,38,67200
1,heuristic_mutation,geometric_crossover,tournament_k3,1,39,67200
1,heuristic_mutation,geometric_crossover,tournament_k3,1,40,67200
1,heuristic_mutation,geometric_crossover,tournament_k3,1,41,67200
1,heuristic_mutation,geometric_crossover,tournament_k3,1,42,67200
1,heuristic_mutation,geometric_crossover,tournament_k3,1,43,67200
1,heuristic_mutation,geometric_crossover,tournament_k3,1,44,67200
1,heuristic_mutation,geometric_crossover,tournament_k3,1,45,68000
1,heuristic_mutation,geometric_crossover,tournament_k3,1,46,68000
1,heuristic_mutation,geometric_crossover,tournament_k3,1,47,69400
1,heuristic_mutation,geometric_crossover,tournament_k3,1,48,69400
1,heuristic_mutation,geometric_crossover,tournament_k3,1,49,69400
1,heuristic_mutation,geometric_crossover,tournament_k3,1,50,69400
1,heuristic_mutation,geometric_crossover,tournament_k3,1,51,69400
1,heuristic_mutation,geometric_crossover,tournament_k3,1,52,69400
1,heuristic_mutation,geometric_crossover,tournament_k3,1,53,69400
1,heuristic_mutation,geometric_crossover,tournament_k3,1,54,69400
1,heuristic_mutation,geometric_crossover,tournament_k3,1,55,69400
1,heuristic_mutation,geometric_crossover,tournament_k3,1,56,69600
1,heuristic_mutation,geometric_crossover,tournament_k3,1,57,69600
1,heuristic_mutation,geometric_crossover,tournament_k3,1,58,69800
1,heuristic_mutation,geometric_crossover,tournament_k3,1,59,69800
1,heuristic_mutation,geometric_crossover,tournament_k3,1,60,69800
1,heuristic_mutation,geometric_crossover,tournament_k3,1,61,70500
1,heuristic_mutation,geometric_crossover,tournament_k3,1,62,70500
1,heuristic_mutation,geometric_crossover,tournament_k3,1,63,70500
1,heuristic_mutation,geometric_crossover,tournament_k3,1,64,70500
1,heuristic_mutation,geometric_crossover,tournament_k3,1,65,70500
1,heuristic_mutation,geometric_crossover,tournament_k3,1,66,70500
1,heuristic_mutation,geometric_crossover,tournament_k3,1,67,70500
1,heuristic_mutation,geometric_crossover,tournament_k3,1,68,70500
1,heuristic_mutation,geometric_crossover,tournament_k3,1,69,70500
1,heuristic_mutation,geometric_crossover,tournament_k3,1,70,70500
1,heuristic_mutation,geometric_crossover,tournament_k3,1,71,70500
1,heuristic_mutation,geometric_crossover,tournament_k3,1,72,70500
1,heuristic_mutation,geometric_crossover,tournament_k3,1,73,72300
1,heuristic_mutation,geometric_crossover,tournament_k3,1,74,72300
1,heuristic_mutation,geometric_crossover,tournament_k3,1,75,72300
1,heuristic_mutation,geometric_crossover,tournament_k3,1,76,72300
1,heuristic_mutation,geometric_crossover,tournament_k3,1,77,72300
1,heuristic_mutation,geometric_crossover,tournament_k3,1,78,72300
1,heuristic_mutation,geometric_crossover,tournament_k3,1,79,72300
1,heuristic_mutation,geometric_crossover,tournament_k3,1,80,73100
1,heuristic_mutation,geometric_crossover,tournament_k3,1,81,73100
1,heuristic_mutation,geometric_crossover,tournament_k3,1,82,73100
1,heuristic_mutation,geometric_crossover,tournament_k3,1,83,73100
1,heuristic_mutation,geometric_crossover,tournament_k3,1,84,73100
1,heuristic_mutation,geometric_crossover,tournament_k3,1,85,73100
1,heuristic_mutation,geometric_crossover,tournament_k3,1,86,73100
1,heuristic_mutation,geometric_crossover,tournament_k3,1,87,73100
1,heuristic_mutation,geometric_crossover,tournament_k3,1,88,73100
1,heuristic_mutation,geometric_crossover,tournament_k3,1,89,73100
1,heuristic_mutation,geometric_crossover,tournament_k3,1,90,73100
1,heuristic_mutation,geometric_crossover,tournament_k3,1,91,73200
1,heuristic_mutation,geometric_crossover,tournament_k3,1,92,73200
1,heuristic_mutation,geometric_crossover,tournament_k3,1,93,73200
1,heuristic_mutation,geometric_crossover,tournament_k3,1,94,73200
1,heuristic_mutation,geometric_crossover,tournament_k3,1,95,73200
1,heuristic_mutation,geometric_crossover,tournament_k3,1,96,73200
1,heuristic_mutation,geometric_crossover,tournament_k3,1,97,73200
1,heuristic_mutation,geometric_crossover,tournament_k3,1,98,73200
1,heuristic_mutation,geometric_crossover,tournament_k3,1,99,73200
1,heuristic_mutation,geometric_crossover,tournament_k3,1,100,73200
2,heuristic_mutation,geometric_crossover,tournament_k3,1,1,35500
2,heuristic_mutation,geometric_crossover,tournament_k3,1,2,40900
2,heuristic_mutation,geometric_crossover,tournament_k3,1,3,48300
2,heuristic_mutation,geometric_crossover,tournament_k3,1,4,50000
2,heuristic_mutation,geometric_crossover,tournament_k3,1,5,55300
2,heuristic_mutation,geometric_crossover,tournament_k3,1,6,57500
2,heuristic_mutation,geometric_crossover,tournament_k3,1,7,60100
2,heuristic_mutation,geometric_crossover,tournament_k3,1,8,60100
2,heuristic_mutation,geometric_crossover,tournament_k3,1,9,60100
2,heuristic_mutation,geometric_crossover,tournament_k3,1,10,61500
2,heuristic_mutation,geometric_crossover,tournament_k3,1,11,61500
2,heuristic_mutation,geometric_crossover,tournament_k3,1,12,61500
